FILE_PATH	UNIQUE_ID	NAME	GENOME	FASTQ_FILE	CONDITION	FUSION
/scratch/user/isingh/projects/ependymoma/bams/rnaseq	11EP21	TOR_DKFZ_EPT_001	hg19	/scratch/user/isingh/projects/ependymoma/fastq/rnaseq/11EP21_ACTGAT_L008_R1_complete_filtered.fastq.gz::/scratch/user/isingh/projects/ependymoma/fastq/rnaseq/11EP21_ACTGAT_L008_R2_complete_filtered.fastq.gz		No
/scratch/user/isingh/projects/ependymoma/bams/rnaseq	4ep18	TOR_DKFZ_EPT_002	hg19	/scratch/user/isingh/projects/ependymoma/fastq/rnaseq/4ep18_R1.fastq.gz::/scratch/user/isingh/projects/ependymoma/fastq/rnaseq/4ep18_R2.fastq.gz		No
/scratch/user/isingh/projects/ependymoma/bams/rnaseq	4ep32	TOR_DKFZ_EPT_003	hg19	/scratch/user/isingh/projects/ependymoma/fastq/rnaseq/4ep32_R1.fastq.gz::/scratch/user/isingh/projects/ependymoma/fastq/rnaseq/4ep32_R2.fastq.gz		No
/scratch/user/isingh/projects/ependymoma/bams/rnaseq	9EP45	TOR_DKFZ_EPT_004	hg19	/scratch/user/isingh/projects/ependymoma/fastq/rnaseq/9EP45_CAGATC_L008_R1_complete_filtered.fastq.gz::/scratch/user/isingh/projects/ependymoma/fastq/rnaseq/9EP45_CAGATC_L008_R2_complete_filtered.fastq.gz		No
/scratch/user/isingh/projects/ependymoma/bams/rnaseq	EPT0291	TOR_DKFZ_EPT_005	hg19	/scratch/user/isingh/projects/ependymoma/fastq/rnaseq/EPT0291_R1.fastq.gz::/scratch/user/isingh/projects/ependymoma/fastq/rnaseq/EPT0291_R2.fastq.gz		No
/scratch/user/isingh/projects/ependymoma/bams/rnaseq	EPT0502	TOR_DKFZ_EPT_006	hg19	/scratch/user/isingh/projects/ependymoma/fastq/rnaseq/EPT0502_R1.fastq.gz::/scratch/user/isingh/projects/ependymoma/fastq/rnaseq/EPT0502_R2.fastq.gz		Yes
/scratch/user/isingh/projects/ependymoma/bams/rnaseq	EPT0505	TOR_DKFZ_EPT_007	hg19	/scratch/user/isingh/projects/ependymoma/fastq/rnaseq/EPT0505_R1.fastq.gz::/scratch/user/isingh/projects/ependymoma/fastq/rnaseq/EPT0505_R2.fastq.gz		No
/scratch/user/isingh/projects/ependymoma/bams/rnaseq	EPT0508	TOR_DKFZ_EPT_008	hg19	/scratch/user/isingh/projects/ependymoma/fastq/rnaseq/EPT0508_R1.fastq.gz::/scratch/user/isingh/projects/ependymoma/fastq/rnaseq/EPT0508_R2.fastq.gz		No
/scratch/user/isingh/projects/ependymoma/bams/rnaseq	EPT0509	TOR_DKFZ_EPT_009	hg19	/scratch/user/isingh/projects/ependymoma/fastq/rnaseq/EPT0509_R1.fastq.gz::/scratch/user/isingh/projects/ependymoma/fastq/rnaseq/EPT0509_R2.fastq.gz		No
/scratch/user/isingh/projects/ependymoma/bams/rnaseq	EPT0516	TOR_DKFZ_EPT_010	hg19	/scratch/user/isingh/projects/ependymoma/fastq/rnaseq/EPT0516_R1.fastq.gz::/scratch/user/isingh/projects/ependymoma/fastq/rnaseq/EPT0516_R2.fastq.gz		Yes
